物件名,カテゴリー,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積,23区,都市名,路線,最寄駅,徒歩
ベイシティ葛西2,賃貸マンション,24,14,14,134000.0,10000.0,134000.0,134000.0,2LDK,56.72,江戸川区,東葛西６,東京メトロ東西線,葛西駅,6
レジディア町屋,賃貸マンション,14,15,2,83000.0,10000.0,83000.0,83000.0,1K,24.55,荒川区,町屋６,東京メトロ千代田線,町屋駅,11
ヨウコースクウェア田端,賃貸マンション,17,6,5,79000.0,3000.0,79000.0,79000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,2,79000.0,3000.0,79000.0,79000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,1,79000.0,3000.0,79000.0,79000.0,1K,23.06,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,2,79000.0,3300.0,79000.0,79000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,5,79000.0,3300.0,79000.0,79000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,1,79000.0,3300.0,79000.0,79000.0,1K,23.06,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,5,82000.0,3000.0,82000.0,82000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
ヨウコースクウェア田端,賃貸マンション,17,6,5,85000.0,3000.0,85000.0,85000.0,1K,25.1,荒川区,東尾久４,ＪＲ山手線,田端駅,10
カーサ　ボニータ,賃貸マンション,13,4,1,78000.0,4000.0,0.0,78000.0,ワンルーム,31.89,荒川区,東尾久８,日暮里・舎人ライナー,熊野前駅,4
ブランドール,賃貸アパート,18,3,2,75000.0,3500.0,37500.0,75000.0,1K,26.71,荒川区,町屋１,東京メトロ千代田線,町屋駅,10
サリックス,賃貸アパート,9,2,2,84000.0,3000.0,42000.0,84000.0,1LDK,41.4,葛飾区,鎌倉３,京成本線,京成高砂駅,10
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,180000.0,0.0,180000.0,0.0,2LDK,81.76,葛飾区,柴又３,京成金町線,柴又駅,4
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,180000.0,0.0,180000.0,0.0,2LDK,81.76,葛飾区,柴又３,京成金町線,柴又駅,4
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,180000.0,0.0,180000.0,0.0,2LDK,81.76,葛飾区,柴又３,京成金町線,柴又駅,4
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,190000.0,0.0,190000.0,0.0,2LDK,79.33,葛飾区,柴又３,京成金町線,柴又駅,4
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,190000.0,0.0,190000.0,0.0,2LDK,79.33,葛飾区,柴又３,京成金町線,柴又駅,4
